,Open,High,Low,Close,Volume,VolumeTicks
2023.08.17 11:36,118040.00000,118050.00000,117895.00000,117920.00000,22130,74595
2023.08.17 11:37,117915.00000,117940.00000,117805.00000,117830.00000,22922,81133
2023.08.17 11:38,117830.00000,117980.00000,117825.00000,117905.00000,26243,92241
2023.08.17 11:39,117900.00000,117955.00000,117875.00000,117925.00000,7211,27011
2023.08.17 11:40,117920.00000,117975.00000,117895.00000,117950.00000,7958,27060
2023.08.17 11:41,117950.00000,118010.00000,117940.00000,117960.00000,10599,35777
2023.08.17 11:42,117965.00000,118035.00000,117960.00000,118005.00000,7715,24294
2023.08.17 11:43,118005.00000,118035.00000,117935.00000,117950.00000,7915,26831
2023.08.17 11:44,117950.00000,118005.00000,117930.00000,117955.00000,8981,29717
2023.08.17 11:45,117960.00000,118055.00000,117955.00000,117980.00000,14121,49010
2023.08.17 11:46,117985.00000,118030.00000,117925.00000,118020.00000,9950,34042
2023.08.17 11:47,118020.00000,118030.00000,117935.00000,117970.00000,6848,22686
2023.08.17 11:48,117970.00000,117970.00000,117895.00000,117915.00000,10071,32993
2023.08.17 11:49,117920.00000,117940.00000,117815.00000,117820.00000,14891,50041
2023.08.17 11:50,117820.00000,117910.00000,117820.00000,117905.00000,13199,44667
2023.08.17 11:51,117900.00000,117950.00000,117875.00000,117880.00000,10386,34642
2023.08.17 11:52,117885.00000,117895.00000,117840.00000,117865.00000,7933,27165
2023.08.17 11:53,117860.00000,117900.00000,117770.00000,117805.00000,17428,58547
2023.08.17 11:54,117805.00000,117840.00000,117710.00000,117730.00000,22953,85026
2023.08.17 11:55,117730.00000,117780.00000,117715.00000,117760.00000,12209,48703
2023.08.17 11:56,117760.00000,117810.00000,117715.00000,117730.00000,12704,44166
2023.08.17 11:57,117730.00000,117750.00000,117650.00000,117685.00000,20964,79346
2023.08.17 11:58,117680.00000,117720.00000,117650.00000,117690.00000,9308,33198
2023.08.17 11:59,117685.00000,117705.00000,117660.00000,117680.00000,6019,22664
2023.08.17 12:00,117680.00000,117690.00000,117600.00000,117610.00000,15671,55722
2023.08.17 12:01,117610.00000,117690.00000,117605.00000,117675.00000,11765,40743
2023.08.17 12:02,117680.00000,117700.00000,117655.00000,117665.00000,7566,25505
2023.08.17 12:03,117665.00000,117670.00000,117540.00000,117555.00000,18656,69015
2023.08.17 12:04,117550.00000,117615.00000,117540.00000,117570.00000,13998,51909
2023.08.17 12:05,117575.00000,117660.00000,117570.00000,117660.00000,13795,51196
2023.08.17 12:06,117660.00000,117685.00000,117640.00000,117650.00000,8330,30781
2023.08.17 12:07,117650.00000,117680.00000,117635.00000,117645.00000,4902,18451
2023.08.17 12:08,117645.00000,117665.00000,117610.00000,117660.00000,6404,24213
2023.08.17 12:09,117655.00000,117725.00000,117650.00000,117720.00000,10693,35304
2023.08.17 12:10,117715.00000,117770.00000,117715.00000,117745.00000,12958,46313
2023.08.17 12:11,117745.00000,117760.00000,117685.00000,117730.00000,9411,32824
2023.08.17 12:12,117730.00000,117740.00000,117650.00000,117665.00000,9491,32661
2023.08.17 12:13,117665.00000,117675.00000,117600.00000,117635.00000,11194,38715
2023.08.17 12:14,117635.00000,117700.00000,117630.00000,117690.00000,6461,21459
2023.08.17 12:15,117695.00000,117730.00000,117660.00000,117720.00000,8616,28920
2023.08.17 12:16,117720.00000,117775.00000,117710.00000,117755.00000,9071,32873
2023.08.17 12:17,117755.00000,117770.00000,117620.00000,117625.00000,14124,48442
2023.08.17 12:18,117620.00000,117645.00000,117570.00000,117615.00000,13203,44552
2023.08.17 12:19,117615.00000,117655.00000,117575.00000,117605.00000,9038,31159
2023.08.17 12:20,117610.00000,117635.00000,117605.00000,117625.00000,3094,9427
2023.08.17 12:21,117620.00000,117655.00000,117580.00000,117600.00000,7313,25451
2023.08.17 12:22,117600.00000,117615.00000,117570.00000,117590.00000,5705,19144
2023.08.17 12:23,117585.00000,117635.00000,117580.00000,117600.00000,6184,22198
2023.08.17 12:24,117595.00000,117660.00000,117595.00000,117625.00000,4983,17036
2023.08.17 12:25,117620.00000,117650.00000,117605.00000,117605.00000,3194,10195
2023.08.17 12:26,117610.00000,117620.00000,117550.00000,117570.00000,10439,35456
2023.08.17 12:27,117570.00000,117595.00000,117560.00000,117570.00000,3996,13721
