,Open,High,Low,Close,Volume,VolumeTicks
2023.10.05 11:36,113925.00000,113930.00000,113755.00000,113800.00000,8055,111421
2023.10.05 11:37,113795.00000,113845.00000,113715.00000,113725.00000,6142,82274
2023.10.05 11:38,113725.00000,113730.00000,113635.00000,113655.00000,5828,81794
2023.10.05 11:39,113660.00000,113660.00000,113575.00000,113635.00000,5859,86879
2023.10.05 11:40,113635.00000,113675.00000,113485.00000,113500.00000,6487,103615
2023.10.05 11:41,113500.00000,113560.00000,113435.00000,113455.00000,7900,134541
2023.10.05 11:42,113455.00000,113505.00000,113330.00000,113365.00000,7133,113647
2023.10.05 11:43,113365.00000,113455.00000,113320.00000,113385.00000,6164,92985
2023.10.05 11:44,113385.00000,113455.00000,113375.00000,113445.00000,3777,44952
2023.10.05 11:45,113445.00000,113460.00000,113365.00000,113440.00000,4011,51587
2023.10.05 11:46,113440.00000,113525.00000,113425.00000,113515.00000,4950,76669
2023.10.05 11:47,113515.00000,113570.00000,113485.00000,113515.00000,4277,61464
2023.10.05 11:48,113515.00000,113515.00000,113425.00000,113495.00000,3653,47215
2023.10.05 11:49,113495.00000,113530.00000,113425.00000,113425.00000,2983,37274
2023.10.05 11:50,113430.00000,113440.00000,113335.00000,113390.00000,5390,76885
2023.10.05 11:51,113385.00000,113510.00000,113370.00000,113400.00000,4715,66183
2023.10.05 11:52,113405.00000,113500.00000,113365.00000,113475.00000,3457,41951
2023.10.05 11:53,113480.00000,113505.00000,113370.00000,113380.00000,3289,44624
2023.10.05 11:54,113380.00000,113400.00000,113295.00000,113370.00000,5579,90373
2023.10.05 11:55,113370.00000,113425.00000,113320.00000,113340.00000,3541,43150
2023.10.05 11:56,113340.00000,113425.00000,113335.00000,113380.00000,2667,33930
2023.10.05 11:57,113380.00000,113420.00000,113345.00000,113405.00000,1939,24657
2023.10.05 11:58,113405.00000,113420.00000,113320.00000,113360.00000,2401,31190
2023.10.05 11:59,113360.00000,113375.00000,113310.00000,113340.00000,2610,28630
2023.10.05 12:00,113340.00000,113380.00000,113260.00000,113285.00000,3152,49049
2023.10.05 12:01,113280.00000,113370.00000,113245.00000,113335.00000,4986,71108
2023.10.05 12:02,113330.00000,113340.00000,113285.00000,113305.00000,2167,24580
2023.10.05 12:03,113305.00000,113320.00000,113235.00000,113270.00000,3308,45641
2023.10.05 12:04,113270.00000,113280.00000,113140.00000,113140.00000,5420,81385
2023.10.05 12:05,113140.00000,113185.00000,113105.00000,113150.00000,4944,72847
2023.10.05 12:06,113150.00000,113165.00000,113080.00000,113105.00000,3445,49973
2023.10.05 12:07,113105.00000,113170.00000,113075.00000,113160.00000,3676,50919
2023.10.05 12:08,113160.00000,113215.00000,113140.00000,113205.00000,3424,51380
2023.10.05 12:09,113205.00000,113210.00000,113145.00000,113185.00000,2087,30814
2023.10.05 12:10,113185.00000,113265.00000,113180.00000,113260.00000,3722,55884
2023.10.05 12:11,113255.00000,113300.00000,113230.00000,113290.00000,2740,36426
2023.10.05 12:12,113290.00000,113330.00000,113280.00000,113310.00000,3062,42728
2023.10.05 12:13,113305.00000,113380.00000,113285.00000,113375.00000,3021,40177
2023.10.05 12:14,113375.00000,113395.00000,113335.00000,113355.00000,2794,40143
2023.10.05 12:15,113355.00000,113395.00000,113350.00000,113365.00000,2107,24850
2023.10.05 12:16,113360.00000,113415.00000,113335.00000,113410.00000,3037,45134
2023.10.05 12:17,113410.00000,113420.00000,113365.00000,113400.00000,2011,24249
2023.10.05 12:18,113400.00000,113405.00000,113320.00000,113340.00000,2246,32001
2023.10.05 12:19,113340.00000,113345.00000,113245.00000,113260.00000,3877,50118
2023.10.05 12:20,113255.00000,113260.00000,113205.00000,113250.00000,3902,50095
2023.10.05 12:21,113255.00000,113290.00000,113220.00000,113255.00000,2530,30436
2023.10.05 12:22,113255.00000,113320.00000,113250.00000,113315.00000,2028,24742
2023.10.05 12:23,113315.00000,113340.00000,113300.00000,113315.00000,2283,25491
2023.10.05 12:24,113315.00000,113430.00000,113310.00000,113375.00000,4100,62587
2023.10.05 12:25,113375.00000,113395.00000,113315.00000,113335.00000,2467,31460
2023.10.05 12:26,113335.00000,113340.00000,113295.00000,113295.00000,2081,21936
2023.10.05 12:27,113295.00000,113310.00000,113255.00000,113295.00000,2541,30841
2023.10.05 12:28,113300.00000,113305.00000,113210.00000,113240.00000,2735,36517
2023.10.05 12:29,113245.00000,113295.00000,113230.00000,113285.00000,1746,21847
2023.10.05 12:30,113280.00000,113350.00000,113270.00000,113300.00000,2531,33243
2023.10.05 12:31,113305.00000,113310.00000,113245.00000,113270.00000,2254,25856
2023.10.05 12:32,113270.00000,113280.00000,113195.00000,113240.00000,2837,34429
2023.10.05 12:33,113240.00000,113285.00000,113220.00000,113280.00000,1430,17307
2023.10.05 12:34,113280.00000,113295.00000,113235.00000,113260.00000,1303,17701
2023.10.05 12:35,113255.00000,113370.00000,113255.00000,113355.00000,2860,36733
2023.10.05 12:36,113355.00000,113385.00000,113340.00000,113375.00000,2090,25153
2023.10.05 12:37,113375.00000,113375.00000,113320.00000,113335.00000,1387,15172
2023.10.05 12:38,113340.00000,113340.00000,113240.00000,113250.00000,2638,36369
2023.10.05 12:39,113255.00000,113315.00000,113245.00000,113310.00000,1591,18630
2023.10.05 12:40,113315.00000,113350.00000,113285.00000,113330.00000,1774,20876
2023.10.05 12:41,113325.00000,113330.00000,113295.00000,113330.00000,1142,12887
2023.10.05 12:42,113325.00000,113365.00000,113290.00000,113310.00000,1885,24863
2023.10.05 12:43,113305.00000,113315.00000,113195.00000,113240.00000,3215,45763
2023.10.05 12:44,113240.00000,113245.00000,113165.00000,113175.00000,2872,34080
2023.10.05 12:45,113175.00000,113280.00000,113165.00000,113270.00000,3324,41063
